title,author,avg_rating,date_added,num_of_pages,genre,rating_num
The Martyr(Covenant of Steel #2),Anthony Ryan,4.38,2023-08-17,528.0,unknown,
"The Shadow of the Gods(The Bloodsworn Saga, #1)",John Gwynne,4.21,2023-08-17,480.0,fiction,
"The Justice of Kings(Empire of the Wolf, #1)",Richard Swan,4.01,2023-08-17,496.0,electronic_books,
"The Pariah(Covenant of Steel, #1)",Anthony Ryan,4.18,2023-08-17,600.0,fiction,
One Exit - Verloren im Untergrund,darkviktory,4.09,2023-08-17,400.0,juvenile_fiction,
"Schattengold: Ach, wie gut, dass niemand weiß...",Christian Handel,3.84,2023-08-17,400.0,fiction,
"Wendy, Darling(Wendy, Darling, #1)",A.C. Wise,3.58,2023-08-17,333.0,young_adult_fiction,2.0
Cursed,Marie O'Regan,3.53,2023-08-17,373.0,fiction,
Frau Holles Labyrinth,Stefanie Lasthaus,3.16,2023-08-17,400.0,fiction,
Hooked,A.C. Wise,3.36,2023-08-17,336.0,fiction,
The Witch's Heart,Genevieve Gornichec,4.04,2023-07-21,359.0,fiction,2.0
The Invisible Life of Addie LaRue,V.E. Schwab,4.17,2023-04-14,448.0,immortality,5.0
Machine of Death Artbook,David Malki,3.38,2023-02-05,176.0,unknown,2.0
The Measure,Nikki Erlick,3.97,2023-02-04,353.0,fiction,3.0
Self-Made Man: One Woman's Journey Into Manhood and Back Again,Norah Vincent,3.42,2023-01-25,290.0,biography_&_autobiography,4.0
"The Goblin Emperor(The Chronicles of Osreth, #1)",Katherine Addison,4.07,2023-01-24,446.0,fiction,
"The Witness for the Dead(The Cemeteries of Amalo, #1)",Katherine Addison,4.11,2023-01-21,240.0,fiction,
"The Vagrant(The Vagrant, #1)",Peter Newman,3.66,2022-09-20,400.0,unknown,
Girls Save the World in This One,Ash Parsons,3.73,2022-09-20,432.0,young_adult_fiction,
Origami Jewelry,Mayumi Jezewski,3.97,2022-09-03,64.0,crafts_&_hobbies,
"The Atlas Six(The Atlas, #1)",Olivie Blake,3.56,2022-07-20,376.0,unknown,4.0
Lightblade,Zamil Akhtar,3.98,2022-07-14,516.0,fiction,3.0
Suicide Notes,Michael Thomas Ford,3.8,2022-07-10,295.0,homosexuality,3.0
"She Who Became the Sun(The Radiant Emperor, #1)",Shelley Parker-Chan,3.84,2022-07-10,416.0,fiction,4.0
Norwegian Wood,Haruki Murakami,4.0,2022-02-21,296.0,indonesian_fiction,
"The Maid(Molly the Maid, #1)",Nita Prose,3.75,2022-02-18,304.0,fiction,2.0
"Killing Floor(Jack Reacher, #1)",Lee Child,4.08,2022-02-16,575.0,detective_and_mystery_stories,4.0
"Empire of the Vampire(Empire of the Vampire, #1)",Jay Kristoff,4.33,2022-01-13,739.0,unknown,2.0
"The Keeper of Night(The Keeper of Night, #1)",Kylie Lee Baker,3.61,2021-12-22,393.0,young_adult_fiction,2.0
The One,John Marrs,4.1,2021-12-20,418.0,unknown,3.0
The Power,Naomi Alderman,3.75,2021-10-30,341.0,fiction,4.0
"The Darkness Within Ourselves(The Darkness Series, #1)",Jessica Huntley,3.97,2021-07-07,352.0,young_adult_fiction,3.0
"The Immortals(Olympus Bound, #1)",Jordanna Max Brodsky,3.77,2021-05-29,447.0,fiction,2.0
Delenda Est,Lord Silvere,4.05,2021-04-03,1570.0,unknown,3.0
"Omniscient Reader's Viewpoint, Vol. 3",Singshong,4.75,2021-01-28,903.0,unknown,3.0
"Omniscient Reader's Viewpoint, Vol. 2",Singshong,4.71,2021-01-27,903.0,unknown,4.0
"Omniscient Reader’s Viewpoint, Vol. 1",Singshong,4.71,2021-01-27,2079.0,unknown,3.0
"Crazed Time Traveller(Genius Detective, #20)",Xin Bai,3.0,2021-01-13,,unknown,3.0
"Bottle Cap Murder(Genius Detective, #19)",Xin Bai,3.5,2021-01-12,,unknown,3.0
"In The Name of Love(Genius Detective, #18)",Xin Bai,3.5,2021-01-12,,literary_criticism,3.0
"World's Biggest Lie(Genius Detective, #17)",Xin Bai,3.5,2021-01-12,,unknown,3.0
"The Palm and Back of Hand are all Flesh(Genius Detective, #16)",Xin Bai,4.0,2021-01-11,,english_literature,4.0
"Under Human Skin(Genius Detective, #15)",Xin Bai,3.5,2021-01-11,,unknown,3.0
"Ready Player Two(Ready Player One, #2)",Ernest Cline,3.44,2021-01-11,370.0,fiction,
"Emergency Landing(Genius Detective, #14)",Xin Bai,2.5,2021-01-11,,unknown,3.0
"Last Return(Genius Detective, #13)",Xin Bai,3.0,2021-01-11,,fiction,3.0
"Case of Grandma Liu Murdering Someone(Genius Detective, #12)",Xin Bai,3.0,2021-01-11,,unknown,3.0
"Rich Family Affairs(Genius Detective, #11)",Xin Bai,3.33,2021-01-08,,unknown,3.0
"Secret(Genius Detective, #10)",Xin Bai,3.33,2021-01-08,,juvenile_fiction,3.0
"Friend, Have you Bought Insurance(Genius Detective, #9)",Xin Bai,4.0,2021-01-08,,unknown,4.0
"Peaceful Night Wasn't Peaceful(Genius Detective, #8)",Xin Bai,3.4,2021-01-08,,fiction,4.0
"The Father is Actually a...?(Genius Detective, #7)",Xin Bai,3.2,2021-01-07,,literary_criticism,3.0
"Lucky Man(Genius Detective, #6)",Xin Bai,3.4,2021-01-07,,performing_arts,3.0
"Their Relationship(Genius Detective, #5)",Xin Bai,3.4,2021-01-07,,biography_&_autobiography,3.0
"Another Family's Child(Genius Detective, #4)",Xin Bai,3.17,2021-01-07,,fiction,3.0
"Headless Female Corpse(Genius Detective, #3)",Xin Bai,3.5,2021-01-07,,unknown,3.0
"Family Massacre(Genius Detective, #2)",Xin Bai,3.1,2021-01-07,,fiction,3.0
"The Mysterious Driver(Genius Detective, #1)",Xin Bai,3.62,2021-01-07,,fiction,3.0
"The Book of Koli(Rampart Trilogy, #1)",M.R. Carey,4.02,2020-11-20,416.0,fiction,4.0
Elizabeth,Jessica Hamilton,3.49,2020-11-16,160.0,english_fiction,3.0
"Children of Ruin(Children of Time, #2)",Adrian Tchaikovsky,4.05,2020-11-06,597.0,fiction,
"Children of Time(Children of Time, #1)",Adrian Tchaikovsky,4.3,2020-11-06,608.0,fiction,
"King of Scars(King of Scars, #1)",Leigh Bardugo,4.15,2020-11-06,511.0,young_adult_fiction,
"Smoke and Stone(City of Sacrifice, #1)",Michael R. Fletcher,3.9,2020-11-05,335.0,unknown,3.0
"My Sister, the Serial Killer",Oyinkan Braithwaite,3.65,2020-11-04,226.0,unknown,2.0
"Sex Criminals, Vol. 1: One Weird Trick",Matt Fraction,3.9,2020-11-02,128.0,comics_&_graphic_novels,2.0
"The Queen's Executioner(Magelands Epic, #1)",Christopher Mitchell,4.24,2020-11-02,460.0,unknown,
Breath: The New Science of a Lost Art,James Nestor,4.15,2020-11-02,280.0,breathing_exercises,
Someday I'll Be Redeemed,Kelly Blanchard,4.18,2020-11-02,468.0,unknown,
Little Cruelties,Liz Nugent,3.76,2020-11-02,384.0,fiction,5.0
The Death of Vivek Oji,Akwaeke Emezi,4.12,2020-11-02,248.0,unknown,3.0
"I, Lucifer",Glen Duncan,3.6,2020-09-01,272.0,fiction,3.0
Swordheart,T. Kingfisher,4.11,2020-07-28,426.0,housekeepers,2.0
The Hollow Places,T. Kingfisher,3.79,2020-07-28,341.0,fiction,4.0
The Ten Thousand Doors of January,Alix E. Harrow,4.02,2020-06-22,374.0,books_and_reading,4.0
"Middlegame(Alchemical Journeys, #1)",Seanan McGuire,4.01,2020-06-22,492.0,fiction,3.0
Normal People,Sally Rooney,3.81,2020-06-05,273.0,college_students,1.0
Becoming Nigerian: A Guide,Elnathan John,3.96,2020-04-28,160.0,humor,3.0
Six Wakes,Mur Lafferty,3.83,2020-04-28,361.0,fiction,
Hits and Misses: Stories,Simon Rich,3.87,2020-04-10,240.0,fiction,3.0
Superman: Dawnbreaker,Matt de la Pena,3.52,2020-04-10,288.0,unknown,3.0
Guilty Wives,James Patterson,3.9,2020-02-16,455.0,americans,3.0
"The Bird and the Sword(The Bird and the Sword Chronicles, #1)",Amy Harmon,4.17,2019-12-15,328.0,daughters,4.0
Hell:  The Possession and Exorcism of Cassie Stevens,Tom Lewis,4.18,2019-12-14,374.0,unknown,
The Library at Mount Char,Scott Hawkins,4.07,2019-12-07,390.0,ability,4.0
"Nyxia Unleashed(The Nyxia Triad, #2)",Scott Reintgen,4.2,2019-12-06,393.0,young_adult_fiction,3.0
"Nyxia(The Nyxia Triad, #1)",Scott Reintgen,4.14,2019-12-05,384.0,fiction,3.0
"Feed(Newsflesh, #1)",Mira Grant,3.85,2019-12-01,599.0,fiction,1.0
"The Wicker King(The Wicker King, #1)",K. Ancrum,3.98,2019-11-30,305.0,juvenile_fiction,4.0
The Screwtape Letters,C.S. Lewis,4.27,2019-11-30,222.0,literary_collections,3.0
The Silent Patient,Alex Michaelides,4.17,2019-11-18,336.0,fiction,4.0
Thr3e,Ted Dekker,4.07,2019-11-11,423.0,christian_fiction,4.0
"The Devil's Dream(The Devil's Dream, #1)",David Beers,3.91,2019-10-05,310.0,temperance,1.0
"The Kind Worth Killing(Henry Kimball/Lily Kintner, #1)",Peter Swanson,3.98,2019-10-01,320.0,fiction,4.0
"The Hypnotist(Joona Linna, #1)",Lars Kepler,3.75,2019-09-30,503.0,boys,2.0
Supergod,Warren Ellis,3.72,2019-09-30,128.0,antiheroes,3.0
The Grand Dark,Richard Kadrey,3.62,2019-08-22,432.0,artifical_intelligence,
Dirty Rotten Hippies and Other Stories,Bryan Smith,4.03,2019-08-21,256.0,fiction,2.0
"The Rage of Dragons(The Burning, #1)",Evan Winter,4.31,2019-08-21,535.0,ability,3.0
Feed,M.T. Anderson,3.55,2019-08-21,237.0,young_adult_fiction,
"Happiness, Like Water",Chinelo Okparanta,4.02,2019-08-06,196.0,fiction,4.0
"Vicious(Villains, #1)",V.E. Schwab,4.19,2019-07-24,402.0,unknown,4.0
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,2019-06-19,491.0,fiction,3.0
The Bridegroom,Ha Jin,3.75,2019-06-13,225.0,fiction,2.0
I'm Thinking of Ending Things,Iain Reid,3.53,2019-06-09,241.0,fiction,4.0
Fever Dream,Samanta Schweblin,3.72,2019-06-09,183.0,unknown,
The Night Tiger,Yangsze Choo,3.86,2019-06-09,372.0,unknown,3.0
"Ask Again, Yes",Mary Beth Keane,3.93,2019-06-07,388.0,fiction,4.0
"Edgedancer(The Stormlight Archive, #2.5)",Brandon Sanderson,4.15,2019-06-05,272.0,fiction,5.0
"Holes(Holes, #1)",Louis Sachar,4.01,2019-05-25,272.0,juvenile_fiction,3.0
"Empire of Silence(The Sun Eater, #1)",Christopher Ruocchio,4.01,2019-05-24,753.0,fiction,3.0
A Bit of Difference,Sefi Atta,3.43,2019-04-10,222.0,fiction,3.0
The Ones That Disappeared,Zana Fraillon,3.8,2019-04-07,320.0,juvenile_nonfiction,
诡秘之主,Ai Qianshui de Wuzei,4.72,2019-04-07,,unknown,
Martial Arts Master Volume 2,Ai Qianshui de Wuzei,3.81,2019-04-07,,unknown,
The Devil's Advocate,Andrew Neiderman,3.99,2019-04-07,237.0,fiction,4.0
Rage,Richard Bachman,3.72,2019-04-05,131.0,fiction,3.0
Rebecca,Daphne du Maurier,4.25,2019-03-19,449.0,fiction,
The Partner,John Grisham,3.97,2019-02-19,416.0,fiction,
Murder Games - Part 1,James Patterson,3.77,2019-01-20,80.0,fiction,4.0
Children of the Nameless,Brandon Sanderson,3.91,2019-01-02,217.0,fiction,
Bridge of Clay,Zusak Markus,3.81,2019-01-02,583.0,unknown,
The Wicker King,K. Ancrum,3.98,2019-01-02,336.0,juvenile_fiction,
Need to Know,Karen Cleveland,3.82,2019-01-02,336.0,fiction,
That Kind of Mother,Rumaan Alam,3.07,2019-01-02,291.0,fiction,
Under My Skin,Lisa Unger,3.62,2019-01-02,304.0,fiction,
Warlight,Michael Ondaatje,3.6,2019-01-02,268.0,fiction,
"The Kingdom of Copper(The Daevabad Trilogy, #2)",S.A. Chakraborty,4.39,2019-01-02,621.0,fiction,
Friday Black,Nana Kwame Adjei-Brenyah,4.04,2019-01-02,194.0,fiction,
Chronicle of a Death Foretold,Gabriel García Márquez,3.97,2019-01-02,120.0,fiction,
"Holy Sister(Book of the Ancestor, #3)",Mark Lawrence,4.31,2019-01-02,343.0,unknown,
"The Novice(Summoner, #1)",Taran Matharu,4.12,2019-01-02,398.0,unknown,
