title,author,avg_rating,date_added,num_of_pages,genre,rating_num
"Reflex(Jumper, #2)",Steven Gould,3.99,2018-01-14,380.0,fiction,3.0
"Spin(Spin, #1)",Robert Charles Wilson,4.04,2018-01-14,458.0,unknown,4.0
"Jumper(Jumper, #1)",Steven Gould,3.93,2018-01-13,345.0,fiction,4.0
Fire and Fury: Inside the Trump White House,Michael Wolff,3.44,2018-01-10,322.0,political_science,3.0
"Heart of Stone(Bad Things, #5)",Cynthia Eden,4.19,2018-01-07,235.0,young_adult_fiction,2.0
Pimp: The Story of My Life,Iceberg Slim,4.0,2018-01-06,311.0,fiction,4.0
"Ready Player One(Ready Player One, #1)",Ernest Cline,4.23,2017-12-27,480.0,fiction,5.0
"Warcross(Warcross, #1)",Marie Lu,4.13,2017-12-23,353.0,fiction,3.0
Diary of an Oxygen Thief,Anonymous,2.72,2017-12-19,140.0,unknown,3.0
The Neverending Story,Michael Ende,4.18,2017-12-13,396.0,children's_stories,4.0
The Secret Lives of Baba Segi's Wives,Lola Shoneyin,4.08,2017-12-12,280.0,fiction,4.0
"Scythe(Arc of a Scythe, #1)",Neal Shusterman,4.32,2017-12-05,435.0,apprentices,4.0
"The Mall(Downside, #1)",S.L. Grey,3.57,2017-12-04,312.0,fiction,2.0
Hunger: A Memoir of (My) Body,Roxane Gay,4.17,2017-12-03,306.0,biography_&_autobiography,3.0
Men Without Women,Haruki Murakami,3.74,2017-12-02,242.0,fiction,4.0
"One of Us Is Lying(One of Us is Lying, #1)",Karen McManus,3.92,2017-11-27,360.0,application_software,5.0
"They Both Die at the End(Death-Cast, #1)",Adam Silvera,3.75,2017-11-27,389.0,fiction,4.0
"Oathbringer(The Stormlight Archive, #3)",Brandon Sanderson,4.61,2017-11-20,1248.0,fiction,3.0
"The Killing Lessons(Valerie Hart, #1)",Saul Black,3.74,2017-11-19,400.0,fiction,3.0
Thirteen Reasons Why,Jay Asher,3.84,2017-11-17,352.0,unknown,3.0
Wonder Woman: Warbringer,Leigh Bardugo,4.0,2017-11-15,369.0,unknown,4.0
"The Hate U Give(The Hate U Give, #1)",Angie Thomas,4.46,2017-11-14,454.0,juvenile_nonfiction,3.0
It,Stephen King,4.24,2017-11-05,1184.0,fiction,4.0
God Help the Child,Toni Morrison,3.78,2017-10-24,178.0,african_americans,3.0
First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,4.35,2017-10-22,238.0,biography_&_autobiography,3.0
False Memory,Dean Koontz,3.91,2017-10-08,751.0,fiction,2.0
Perfume: The Story of a Murderer,Patrick Süskind,4.04,2017-10-04,263.0,fiction,4.0
The First Fifteen Lives of Harry August,Claire North,4.03,2017-09-30,416.0,end_of_the_world,5.0
We Are Okay,Nina LaCour,3.93,2017-09-12,236.0,college_stories,4.0
"The First Book of Swords(Books of Swords, #1)",Fred Saberhagen,3.8,2017-09-11,309.0,fiction,2.0
"The Rook(The Checquy Files, #1)",Daniel O'Malley,4.1,2017-09-10,504.0,fiction,4.0
Beauty Queens,Libba Bray,3.62,2017-08-26,396.0,young_adult_fiction,4.0
"Half the World(Shattered Sea, #2)",Joe Abercrombie,4.19,2017-08-26,366.0,first_loves,5.0
Jonathan Strange & Mr Norrell,Susanna Clarke,3.87,2017-08-26,782.0,fiction,3.0
"The Godless(Children, #1)",Ben Peek,3.5,2017-08-26,392.0,fiction,3.0
Release,Patrick Ness,3.64,2017-08-25,287.0,young_adult_fiction,4.0
Blister,Jeff Strand,3.96,2017-08-24,275.0,unknown,3.0
More Than This,Patrick Ness,3.94,2017-07-30,480.0,unknown,3.0
Pressure,Jeff Strand,4.05,2017-07-26,239.0,"horror_stories,_american",4.0
"The Opal Deception(Artemis Fowl, #4)",Eoin Colfer,4.06,2017-07-26,528.0,unknown,3.0
Artemis,Andy Weir,3.69,2017-07-26,322.0,unknown,3.0
Under the Udala Trees,Chinelo Okparanta,4.03,2017-07-20,328.0,fiction,5.0
The Rest of Us Just Live Here,Patrick Ness,3.68,2017-07-20,348.0,young_adult_fiction,5.0
The Night Circus,Erin Morgenstern,4.0,2017-07-12,506.0,circus,5.0
"How to be a Nigerian(Working Paper Series, 1/1990)",Peter Enahoro,3.96,2017-07-09,96.0,humor,5.0
Lost Boy: The True Story of Captain Hook,Christina Henry,4.21,2017-07-04,292.0,fiction,5.0
"Alice(The Chronicles of Alice, #1)",Christina Henry,3.83,2017-07-04,291.0,fiction,3.0
Dark Places,Gillian Flynn,3.94,2017-07-03,424.0,fiction,3.0
Sour Candy,Kealan Patrick Burke,3.62,2017-07-03,84.0,fiction,3.0
"Wizard's First Rule(Sword of Truth, #1)",Terry Goodkind,4.12,2017-07-01,836.0,fiction,4.0
A Clockwork Orange,Anthony Burgess,4.0,2017-06-21,192.0,fiction,5.0
Serial Hottie,Kelly Oram,3.9,2017-06-13,374.0,hockey,4.0
"The Avery Shaw Experiment(Science Squad, #1)",Kelly Oram,3.98,2017-06-12,303.0,juvenile_fiction,5.0
Scrappy Little Nobody,Anna Kendrick,3.85,2017-06-11,275.0,biography_&_autobiography,3.0
Furiously Happy: A Funny Book About Horrible Things,Jenny Lawson,3.89,2017-05-21,329.0,biography_&_autobiography,3.0
"Lord of Chaos(The Wheel of Time, #6)",Robert Jordan,4.19,2017-05-20,1011.0,fantasy_fiction,4.0
"The Fires of Heaven(The Wheel of Time, #5)",Robert Jordan,4.2,2017-05-01,912.0,fiction,5.0
A Twist in the Tale,Jeffrey Archer,3.89,2017-04-17,320.0,unknown,4.0
"Sufficiently Advanced Magic(Arcane Ascension, #1)",Andrew Rowe,4.12,2017-04-13,625.0,fantasy_fiction,2.0
"BZRK(BZRK, #1)",Michael Grant,3.68,2017-04-03,400.0,unknown,3.0
"Blood of My Blood(I Hunt Killers, #3)",Barry Lyga,4.32,2017-04-03,479.0,fiction,3.0
Animal Farm,George Orwell,4.0,2017-04-03,129.0,animals,4.0
The Dice Man,Luke Rhinehart,3.55,2017-04-01,541.0,fiction,2.0
If We Were Villains,M.L. Rio,4.12,2017-04-01,354.0,unknown,5.0
"Game(I Hunt Killers, #2)",Barry Lyga,4.22,2017-04-01,520.0,fiction,4.0
Dragon of Ash & Stars: The Autobiography of a Night Dragon(The Dragons of Solunas #1),H. Leighton Dickson,4.34,2017-03-31,365.0,unknown,5.0
Psych Investigation Episodes: Episode IV,Kevin Weinberg,4.65,2017-03-13,603.0,unknown,4.0
Psych Investigation Episodes: Episode III,Kevin Weinberg,4.64,2017-03-12,432.0,unknown,4.0
Psych Investigation Episodes: Episode II,Kevin Weinberg,4.59,2017-03-12,390.0,unknown,3.0
Psych Investigation Episodes: Episode 1,Kevin Weinberg,4.54,2017-03-12,336.0,unknown,3.0
"Crooked Kingdom(Six of Crows, #2)",Leigh Bardugo,4.58,2017-03-10,561.0,juvenile_fiction,5.0
"The Shadow Rising(The Wheel of Time, #4)",Robert Jordan,4.28,2017-03-03,1007.0,fiction,4.0
"The Dragon Reborn(The Wheel of Time, #3)",Robert Jordan,4.28,2017-02-27,624.0,fiction,4.0
"The Great Hunt(The Wheel of Time, #2)",Robert Jordan,4.27,2017-02-16,705.0,fiction,4.0
"Seer of Egypt(The King's Man, #2)",Pauline Gedge,4.13,2017-02-12,504.0,philosophy,4.0
The Silver Linings Playbook,Matthew Quick,3.98,2017-02-10,291.0,fiction,5.0
Joyland,Stephen King,3.93,2017-02-09,285.0,fiction,3.0
"Six of Crows(Six of Crows, #1)",Leigh Bardugo,4.47,2017-01-10,480.0,fiction,5.0
"The Three-Body Problem(Remembrance of Earth’s Past, #1)",Cixin Liu,4.08,2017-01-06,472.0,fiction,4.0
"The Eye of the World(The Wheel of Time, #1)",Robert Jordan,4.19,2017-01-04,800.0,"fantasy_comic_books,_strips,_etc",4.0
"Tong Lashing(Sir Apropos of Nothing, #3)",Peter David,3.61,2017-01-02,432.0,unknown,4.0
"The Woad to Wuin(Sir Apropos of Nothing, #2)",Peter David,3.71,2017-01-01,512.0,fiction,3.0
Born a Crime: Stories From a South African Childhood,Trevor Noah,4.49,2016-12-23,289.0,unknown,4.0
"Deadhouse Gates(Malazan Book of the Fallen, #2)",Steven Erikson,4.27,2016-12-21,868.0,fantasy_fiction,3.0
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,3.87,2016-12-14,212.0,unknown,3.0
"Gardens of the Moon(Malazan Book of the Fallen, #1)",Steven Erikson,3.93,2016-12-03,666.0,fiction,4.0
Out,Natsuo Kirino,3.94,2016-11-28,400.0,fiction,4.0
"I Don't Want to Kill You(John Cleaver, #3)",Dan Wells,4.23,2016-11-28,320.0,young_adult_fiction,3.0
"Mr. Monster(John Cleaver, #2)",Dan Wells,4.11,2016-11-28,288.0,fiction,3.0
"I Am Not a Serial Killer(John Cleaver, #1)",Dan Wells,3.79,2016-11-28,271.0,young_adult_fiction,3.0
"I Hunt Killers(I Hunt Killers, #1)",Barry Lyga,4.01,2016-11-28,359.0,juvenile_fiction,4.0
The Flicker Men,Ted Kosmatka,3.62,2016-11-28,352.0,fiction,3.0
"The Blade Itself(The First Law, #1)",Joe Abercrombie,4.22,2016-11-28,515.0,"adventure_stories,_english",4.0
"Sir Apropos of Nothing(Sir Apropos of Nothing, #1)",Peter David,3.76,2016-11-28,672.0,fiction,3.0
The Folding Knife,K.J. Parker,4.0,2016-11-28,432.0,byzantine_empire,3.0
The Twice Born(The King's Man #1),Pauline Gedge,4.19,2016-11-28,554.0,fiction,4.0
"The Boy with the Porcelain Blade(Erebus Sequence, #1)",Den Patrick,3.31,2016-11-23,336.0,fiction,4.0
"Victor Deus(Heritage of the Blood, #1)",Brent Lee Markee,4.0,2016-11-21,310.0,fiction,1.0
"I Am the Traitor(The Unknown Assassin, #3)",Allen Zadoff,4.09,2016-11-20,352.0,young_adult_fiction,2.0
"I Am the Mission(The Unknown Assassin, #2)",Allen Zadoff,4.15,2016-11-20,432.0,assassins,2.0
Behind Closed Doors,B.A. Paris,3.97,2016-11-19,293.0,fiction,2.0
"A Gathering of Shadows(Shades of Magic, #2)",V.E. Schwab,4.2,2016-11-19,512.0,contests,4.0
"A Darker Shade of Magic(Shades of Magic, #1)",V.E. Schwab,4.04,2016-11-17,400.0,fiction,4.0
"Control Point(Shadow Ops, #1)",Myke Cole,3.51,2016-11-17,382.0,unknown,1.0
"The Copper Promise(The Copper Cat, #1)",Jen Williams,3.67,2016-11-16,535.0,caves,1.0
"Boy Nobody(The Unknown Assassin, #1)",Allen Zadoff,3.93,2016-11-16,340.0,juvenile_fiction,4.0
Heartless,Marissa Meyer,4.09,2016-11-08,453.0,unknown,5.0
Perfect State,Brandon Sanderson,4.04,2016-11-03,87.0,fiction,3.0
"Mitosis(The Reckoners, #1.5)",Brandon Sanderson,3.85,2016-11-03,55.0,young_adult_fiction,
"Calamity(Reckoners, #3)",Brandon Sanderson,4.18,2016-11-03,424.0,fiction,4.0
"Firefight(The Reckoners, #2)",Brandon Sanderson,4.25,2016-11-03,416.0,young_adult_fiction,4.0
Anansi Boys,Neil Gaiman,4.04,2016-11-03,387.0,fiction,4.0
Stardust,Neil Gaiman,4.1,2016-11-03,248.0,adventure_stories,4.0
"Neverwhere(London Below, #1)",Neil Gaiman,4.16,2016-11-03,370.0,fiction,3.0
The Ocean at the End of the Lane,Neil Gaiman,4.02,2016-11-03,181.0,fiction,4.0
American Gods,Neil Gaiman,4.1,2016-11-03,635.0,unknown,4.0
Norse Mythology,Neil Gaiman,4.1,2016-11-03,299.0,comics_&_graphic_novels,3.0
Dark Matter,Blake Crouch,4.14,2016-11-02,342.0,fiction,4.0
The Ballad of Black Tom,Victor LaValle,3.84,2016-11-01,149.0,fiction,3.0
The Last Days of Jack Sparks,Jason Arnopp,3.85,2016-10-08,336.0,unknown,5.0
"Chaos(I Bring the Fire, #3)",C. Gockel,4.23,2016-10-08,322.0,unknown,3.0
"Red Sister(Book of the Ancestor, #1)",Mark Lawrence,4.16,2016-10-06,467.0,fiction,3.0
"The Hammer of Thor(Magnus Chase and the Gods of Asgard, #2)",Rick Riordan,4.3,2016-10-06,459.0,juvenile_fiction,3.0
"The Sword of Summer(Magnus Chase and the Gods of Asgard, #1)",Rick Riordan,4.23,2016-10-06,512.0,juvenile_fiction,3.0
Quantum Night,Robert J. Sawyer,3.66,2016-10-02,368.0,fiction,5.0
We Are All Completely Fine,Daryl Gregory,3.74,2016-10-02,182.0,fiction,4.0
The Sailor Who Fell from Grace with the Sea,Yukio Mishima,3.84,2016-10-01,181.0,fiction,3.0
On Black Sisters Street,Chika Unigwe,3.87,2016-10-01,258.0,fiction,4.0
"The Giver(The Giver, #1)",Lois Lowry,4.12,2016-09-27,179.0,juvenile_fiction,4.0
"Gathering Blue(The Giver, #2)",Lois Lowry,3.82,2016-09-27,240.0,juvenile_fiction,3.0
In Hero Years... I'm Dead,Michael A. Stackpole,3.89,2016-09-22,325.0,fiction,3.0
"Family(Insanity, #7)",Cameron Jace,4.4,2016-09-20,234.0,unknown,3.0
"Nameless(Nameless, #1)",Jennifer Jenkins,3.99,2016-09-17,,fiction,3.0
"Checkmate(Insanity, #6)",Cameron Jace,4.36,2016-09-17,,unknown,4.0
"Wonder(Insanity, #5)",Cameron Jace,4.4,2016-09-17,327.0,unknown,4.0
"Hookah(Insanity, #4)",Cameron Jace,4.31,2016-09-16,290.0,unknown,4.0
Hero Is a Four Letter Word,J.M. Frey,3.79,2016-09-16,95.0,unknown,3.0
"Circus(Insanity, #3)",Cameron Jace,4.26,2016-09-16,,unknown,4.0
"Figment(Insanity, #2)",Cameron Jace,4.14,2016-09-15,325.0,fairy_tales,3.0
"Insanity(Insanity, #1)",Cameron Jace,3.83,2016-09-15,254.0,forensic_psychiatry,3.0
The Sunbird,Wilbur Smith,4.02,2016-09-10,615.0,unknown,4.0
The Paper Menagerie and Other Stories,Ken Liu,4.36,2016-09-10,450.0,fiction,5.0
"Ex-Purgatory(Ex-Heroes, #4)",Peter Clines,3.98,2016-08-24,352.0,fiction,4.0
"Ex-Isle(Ex-Heroes, #5)",Peter Clines,3.98,2016-08-24,389.0,fiction,4.0
"Ex-Communication(Ex-Heroes, #3)",Peter Clines,4.12,2016-08-24,352.0,fiction,4.0
"Ex-Patriots(Ex-Heroes, #2)",Peter Clines,4.07,2016-08-24,405.0,fiction,3.0
"Ex-Heroes(Ex-Heroes, #1)",Peter Clines,3.86,2016-08-24,336.0,los_angeles_(calif.),4.0
"14(Threshold, #1)",Peter Clines,3.97,2016-08-24,372.0,law,4.0
"The Fold(Threshold, #2)",Peter Clines,3.88,2016-08-24,384.0,education,3.0
"The Girl with All the Gifts(The Girl With All the Gifts, #1)",M.R. Carey,3.95,2016-08-24,461.0,zombies,5.0
Nod,Adrian Barnes,3.37,2016-08-24,206.0,fiction,4.0
"Yellow Brick War(Dorothy Must Die, #3)",Danielle Paige,3.8,2016-08-19,270.0,unknown,3.0
"The Wicked Will Rise(Dorothy Must Die, #2)",Danielle Paige,3.78,2016-08-19,293.0,young_adult_fiction,3.0
"Dorothy Must Die(Dorothy Must Die, #1)",Danielle Paige,3.8,2016-08-19,452.0,unknown,3.0
"Ruler of Beasts(Dorothy Must Die, #0.6)",Danielle Paige,3.71,2016-08-19,84.0,young_adult_fiction,2.0
"The Straw King(Dorothy Must Die, #0.5)",Danielle Paige,3.6,2016-08-19,116.0,unknown,3.0
"Heart of Tin(Dorothy Must Die, #0.4)",Danielle Paige,3.5,2016-08-19,93.0,unknown,3.0
"Dorothy Must Die: Stories(Dorothy Must Die, #0.1-0.3)",Danielle Paige,3.82,2016-08-19,392.0,unknown,3.0
1984,George Orwell,4.2,2016-08-09,328.0,fiction,3.0
"Harry Potter and the Half-Blood Prince(Harry Potter, #6)",J.K. Rowling,4.58,2016-08-09,652.0,juvenile_fiction,3.0
"Harry Potter and the Chamber of Secrets(Harry Potter, #2)",J.K. Rowling,4.43,2016-08-09,352.0,juvenile_fiction,4.0
"Harry Potter and the Goblet of Fire(Harry Potter, #4)",J.K. Rowling,4.57,2016-08-09,734.0,juvenile_fiction,4.0
"Harry Potter and the Order of the Phoenix(Harry Potter, #5)",J.K. Rowling,4.5,2016-08-09,912.0,juvenile_fiction,3.0
"Harry Potter and the Deathly Hallows(Harry Potter, #7)",J.K. Rowling,4.62,2016-08-09,759.0,juvenile_fiction,4.0
"Harry Potter and the Prisoner of Azkaban(Harry Potter, #3)",J.K. Rowling,4.58,2016-08-09,435.0,unknown,4.0
"Charlie Bone and the Shadow(The Children of the Red King, #7)",Jenny Nimmo,4.03,2016-08-09,429.0,juvenile_fiction,4.0
"Charlie Bone and the Beast(The Children of the Red King, #6)",Jenny Nimmo,3.95,2016-08-09,389.0,juvenile_fiction,3.0
"Charlie Bone and the Time Twister(The Children of the Red King, #2)",Jenny Nimmo,3.91,2016-08-09,,juvenile_fiction,3.0
"Charlie Bone and the Invisible Boy(The Children of the Red King, #3)",Jenny Nimmo,3.92,2016-08-09,408.0,juvenile_fiction,4.0
"Charlie Bone and the Hidden King(The Children of the Red King, #5)",Jenny Nimmo,4.01,2016-08-09,464.0,juvenile_fiction,3.0
"Charlie Bone and the Castle of Mirrors(The Children of the Red King, #4)",Jenny Nimmo,3.92,2016-08-09,410.0,juvenile_fiction,4.0
"Midnight for Charlie Bone(The Children of the Red King, #1)",Jenny Nimmo,3.84,2016-08-09,401.0,juvenile_fiction,4.0
"Brisingr(The Inheritance Cycle, #3)",Christopher Paolini,4.11,2016-08-09,748.0,juvenile_nonfiction,4.0
"The Throne of Fire(The Kane Chronicles, #2)",Rick Riordan,4.19,2016-08-06,452.0,juvenile_fiction,
"The House of Hades(The Heroes of Olympus, #4)",Rick Riordan,4.57,2016-08-06,597.0,juvenile_fiction,3.0
"The Red Pyramid(The Kane Chronicles, #1)",Rick Riordan,4.1,2016-08-06,528.0,juvenile_fiction,3.0
"The Mark of Athena(The Heroes of Olympus, #3)",Rick Riordan,4.47,2016-08-06,586.0,unknown,4.0
"The Son of Neptune(The Heroes of Olympus, #2)",Rick Riordan,4.41,2016-08-06,521.0,juvenile_fiction,3.0
"The Lost Hero(The Heroes of Olympus, #1)",Rick Riordan,4.29,2016-08-06,576.0,juvenile_fiction,3.0
"The Last Olympian(Percy Jackson and the Olympians, #5)",Rick Riordan,4.55,2016-08-06,381.0,juvenile_fiction,3.0
"The Sea of Monsters(Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,2016-08-06,279.0,juvenile_fiction,3.0
"The Battle of the Labyrinth(Percy Jackson and the Olympians, #4)",Rick Riordan,4.42,2016-08-06,361.0,"animals,_mythical",3.0
"The Lightning Thief(Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,2016-08-06,377.0,adventure_stories,3.0
"Monsters(I Bring the Fire, #2)",C. Gockel,4.13,2016-08-06,264.0,fiction,4.0
"Wolves(I Bring the Fire, #1)",C. Gockel,3.77,2016-08-06,254.0,fiction,4.0
"The Gospel of Loki(Loki, #1)",Joanne M. Harris,3.74,2016-08-06,302.0,fiction,4.0
"The Dirty Streets of Heaven(Bobby Dollar, #1)",Tad Williams,3.74,2016-08-06,406.0,unknown,3.0
Eragon(The Inheritance Cycle #1),Christopher Paolini,3.96,2016-07-26,503.0,juvenile_fiction,4.0
The Lesser Dead,Christopher Buehlman,4.06,2016-07-20,368.0,unknown,4.0
"Valor(The Faithful and the Fallen, #2)",John Gwynne,4.43,2016-07-15,649.0,fiction,3.0
"City of Blades(The Divine Cities, #2)",Robert Jackson Bennett,4.21,2016-07-15,484.0,fiction,4.0
The Stranger,Albert Camus,4.03,2016-06-30,123.0,fiction,3.0
Taliesin(The Pendragon Cycle #1),Stephen R. Lawhead,4.01,2016-06-03,496.0,fiction,3.0
Fight Club,Chuck Palahniuk,4.18,2016-06-03,218.0,fiction,4.0
The Buried Giant,Kazuo Ishiguro,3.59,2016-04-16,317.0,fiction,2.0
"Ink and Bone(The Great Library, #1)",Rachel Caine,3.97,2016-03-07,362.0,fiction,5.0
"Wake of Vultures(The Shadow, #1)",Lila Bowen,3.88,2016-03-07,342.0,fiction,4.0
The Library at Mount Char,Scott Hawkins,4.07,2016-03-06,390.0,ability,5.0
"The Wheel of Osheim(The Red Queen's War, #3)",Mark Lawrence,4.32,2016-02-25,415.0,fiction,4.0
The Builders,Daniel Polansky,3.76,2016-02-21,226.0,fiction,4.0
"Low Town(Low Town, #1)",Daniel Polansky,3.86,2016-02-21,352.0,business_&_economics,1.0
Devil's Cape,Rob Rogers,3.98,2016-02-21,416.0,unknown,5.0
She Comes First: The Thinking Man's Guide to Pleasuring a Woman,Ian Kerner,4.08,2016-02-01,228.0,self-help,4.0
The First Fifteen Lives of Harry August,Claire North,4.03,2015-12-11,405.0,end_of_the_world,5.0
Seveneves,Neal Stephenson,4.0,2015-11-03,872.0,unknown,5.0
The God Engines,John Scalzi,3.63,2015-10-30,136.0,"fantasy_fiction,_american",4.0
The Girl With All the Gifts: Extended Free Preview,M.R. Carey,3.98,2015-10-24,,fiction,5.0
"Herald of the Storm(Steelhaven, #1)",Richard S. Ford,3.73,2015-10-01,400.0,cities_and_town,3.0
The Martian,Andy Weir,4.42,2015-10-01,384.0,astronauts,5.0
"The Maze Runner(The Maze Runner, #1)",James Dashner,4.05,2015-09-30,384.0,juvenile_fiction,4.0
"So Long, and Thanks for All the Fish(Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,4.09,2015-09-30,167.0,fiction,3.0
"The Hitchhiker’s Guide to the Galaxy(Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,2015-09-30,216.0,fiction,5.0
Superpowers,David J. Schwartz,3.26,2015-07-16,377.0,fiction,3.0
"The Academy(The Central, #1)",Zachary Rawlins,3.5,2015-07-16,397.0,unknown,2.0
Station Eleven,Emily St. John Mandel,4.07,2015-07-16,333.0,actors,2.0
"The Wise Man's Fear(The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,2015-07-15,994.0,unknown,5.0
The Dresden Files: Storm Front: Vol. 1: The Gathering Storm,Jim Butcher,4.35,2015-06-12,128.0,unknown,3.0
"Fever Dream(Pendergast, #10)",Douglas Preston,4.13,2015-06-12,405.0,"d'agosta,_vincent_(fictitious_character)",4.0
"Still Life With Crows(Pendergast, #4)",Douglas Preston,4.21,2015-06-12,571.0,fiction,4.0
"Prince of Thorns(Broken Empire, #1)",Mark Lawrence,3.83,2015-06-12,373.0,fiction,4.0
"Skin Game(The Dresden Files, #15)",Jim Butcher,4.56,2015-06-12,464.0,"dresden,_harry_(fictitious_character)",4.0
"Ghost Story(The Dresden Files, #13)",Jim Butcher,4.25,2015-06-12,481.0,fiction,3.0
"Cold Days(The Dresden Files, #14)",Jim Butcher,4.47,2015-06-12,515.0,"dresden,_harry_(fictitious_character)",2.0
"Furies of Calderon(Codex Alera, #1)",Jim Butcher,4.13,2015-06-12,688.0,fiction,4.0
"Turn Coat(The Dresden Files, #11)",Jim Butcher,4.44,2015-06-12,420.0,fiction,3.0
"Small Favor(The Dresden Files, #10)",Jim Butcher,4.43,2015-06-12,423.0,fiction,4.0
"White Night(The Dresden Files, #9)",Jim Butcher,4.38,2015-06-12,407.0,unknown,4.0
"Proven Guilty(The Dresden Files, #8)",Jim Butcher,4.39,2015-06-12,547.0,unknown,4.0
"Blood Rites(The Dresden Files, #6)",Jim Butcher,4.29,2015-06-12,372.0,chicago_(ill.),3.0
"Death Masks(The Dresden Files, #5)",Jim Butcher,4.29,2015-06-12,432.0,"dresden,_harry_(fictitious_character)",4.0
"Dead Beat(The Dresden Files, #7)",Jim Butcher,4.41,2015-06-12,528.0,chicago_(ill.),2.0
"Summer Knight(The Dresden Files, #4)",Jim Butcher,4.26,2015-06-12,446.0,"dresden,_harry_(fictitious_character)",4.0
"Grave Peril(The Dresden Files, #3)",Jim Butcher,4.14,2015-06-12,378.0,unknown,3.0
"Fool Moon(The Dresden Files, #2)",Jim Butcher,3.98,2015-06-12,424.0,chicago_(ill.),3.0
The Emperor's Soul,Brandon Sanderson,4.38,2015-06-12,192.0,fiction,3.0
"Redemption(Infinity Blade, #2)",Brandon Sanderson,3.79,2015-06-12,200.0,unknown,4.0
"Awakening(Infinity Blade, #1)",Brandon Sanderson,3.83,2015-06-12,123.0,unknown,4.0
"Skin Deep(Legion, #2)",Brandon Sanderson,4.12,2015-06-12,208.0,fiction,4.0
"Legion(Legion, #1)",Brandon Sanderson,4.13,2015-06-12,88.0,history,5.0
The Rithmatist(The Rithmatist #1),Brandon Sanderson,4.25,2015-06-12,386.0,unknown,3.0
"Words of Radiance(The Stormlight Archive, #2)",Brandon Sanderson,4.76,2015-06-12,1088.0,fantasy,4.0
"Steelheart(The Reckoners, #1)",Brandon Sanderson,4.14,2015-06-12,386.0,young_adult_fiction,4.0
"The Way of Kings(The Stormlight Archive, #1)",Brandon Sanderson,4.67,2015-06-12,1007.0,fiction,5.0
"Mistborn: The Final Empire(Mistborn, #1)",Brandon Sanderson,4.49,2015-06-12,541.0,fiction,4.0
"The Unnatural Inquirer(Nightside, #8)",Simon R. Green,4.04,2015-06-12,246.0,fiction,4.0
"The Man with the Golden Torc(Secret Histories, #1)",Simon R. Green,3.86,2015-06-12,393.0,fiction,4.0
"Hell to Pay(Nightside, #7)",Simon R. Green,4.06,2015-06-12,264.0,"fantasy_fiction,_english",4.0
"Sharper Than a Serpent's Tooth(Nightside, #6)",Simon R. Green,4.11,2015-06-12,247.0,fiction,4.0
"Paths Not Taken(Nightside, #5)",Simon R. Green,4.05,2015-06-12,262.0,fiction,4.0
"Nightingale's Lament(Nightside, #3)",Simon R. Green,3.98,2015-06-12,217.0,fiction,4.0
"Agents of Light and Darkness(Nightside, #2)",Simon R. Green,4.0,2015-06-12,233.0,private_investigators,4.0
"Something from the Nightside(Nightside, #1)",Simon R. Green,3.78,2015-06-12,230.0,fiction,3.0
"The Devil You Know(Felix Castor, #1)",Mike Carey,3.81,2015-05-24,406.0,exorcism,3.0
"The False Prince(Ascendance, #1)",Jennifer A. Nielsen,4.24,2015-05-24,342.0,juvenile_fiction,4.0
"The Merchant of Death(Pendragon, #1)",D.J. MacHale,3.97,2015-05-24,375.0,juvenile_fiction,3.0
"The Knife of Never Letting Go(Chaos Walking, #1)",Patrick Ness,3.98,2015-05-24,479.0,juvenile_fiction,4.0
"The Way of the Warrior(Young Samurai, #1)",Chris Bradford,4.25,2015-05-24,368.0,juvenile_nonfiction,4.0
"Zero Sight(Zero Sight, #1)",B. Justin Shier,4.02,2015-05-24,236.0,poetry,3.0
"Sandstorm(Sigma Force, #1)",James Rollins,3.96,2015-05-24,574.0,fiction,3.0
"The Ruins of Gorlan(Ranger's Apprentice, #1)",John Flanagan,4.25,2015-05-24,249.0,adventure_stories,3.0
"The Lion, the Witch and the Wardrobe(Chronicles of Narnia, #1)",C.S. Lewis,4.24,2015-05-24,206.0,unknown,4.0
"The Hundred Thousand Kingdoms(Inheritance, #1)",N.K. Jemisin,3.89,2015-05-24,427.0,fantasy_fiction,3.0
"The Summoner(Chronicles of the Necromancer, #1)",Gail Z. Martin,3.74,2015-05-24,637.0,fiction,3.0
"Here, There Be Dragons(Chronicles of the Imaginarium Geographica, #1)",James A. Owen,3.86,2015-05-24,326.0,juvenile_fiction,3.0
"The Midnight Mayor(Matthew Swift, #2)",Kate Griffin,4.14,2015-05-24,480.0,"fantasy_fiction,_english",4.0
"Deathwish(Cal Leandros, #4)",Rob Thurman,4.1,2015-05-24,336.0,fiction,2.0
"Vicious Circle(Felix Castor, #2)",Mike Carey,3.98,2015-05-24,512.0,exorcism,3.0
"Hex and the City(Nightside, #4)",Simon R. Green,4.06,2015-05-24,246.0,fiction,4.0
"Just Another Judgement Day(Nightside, #9)",Simon R. Green,4.15,2015-05-24,272.0,unknown,4.0
